,id_news,country,media_outlet,url,title,text,date,search
0,47715031.0,chile,diariolaguino,https://www.diariolaguino.cl/noticia/actualidad/2018/01/cuatro-personas-resultaron-lesionadas-en-colision-en-ruta-paillaco-valdivia,Cuatro personas resultaron lesionadas en colisión en ruta Paillaco - Valdivia - Diario Laguino,"Un total de cuatro personas resultaron lesionadas en un accidente de tránsito ocurrido en horas de la tarde de este jueves en la ruta que une las ciudades de Paillaco y Valdivia. El accidente se produjo pasadas las 16 horas, a la altura del sector Huichahue, e involucró a un automóvil particular y un camión forestal Producto del fuerte impacto una pasajera del vehículo menor - que viajaba en el asiento del copiloto - debió ser trasladada a Valdivia. Otros tres pasajeros del mismo automóvil fueron llevados a Paillaco. Al lugar llegaron voluntarios de la Tercera Compañía de Paillaco (unidades de rescate y otros móviles), quienes se vieron obligados a intervenir para liberar a una de las ocupantes que se encontraba atrapada.. El Samu Paillaco llegó para estabilizar a los heridos y trasladar a los heridos, acción en la que también participó una ambulancia del centro hospitalario paillaquino. Se desconocen las causas exactas del accidente, pero extraoficialmente se informó que la colisión fue por alcance y se produjo cuando uno de los móviles ingresó a la carretera procedente de un camino lateral. Fotografía gentileza Tercera Compañía de Paillaco",2018-01-25,accidente
1,49543307.0,chile,lavozdepaillaco,https://www.lavozdepaillaco.cl/en-libertad-quedaron-conductores-de-camiones-que-protagonizaron-choque-anoche/,En libertad quedaron conductores de camiones que protagonizaron choque anoche,"Están a la espera de ser citados a declarar a la Fiscalía local en la comuna. Conductores que protagonizaron anoche un choque en el kilómetro 862, en las cercanías del sector de los cortes, quedaron libertad a la espera de ser citados a declarar a la Fiscalía local de Paillaco. Según antecedentes aportados por Carabineros, el conductor del camión con leña viajó hasta el lugar de detención con un acompañante, quien habría protagonizado este fatal accidente. El chofer se habría estacionado en la berma, para dirigirse a Paillaco a buscar a su hijo. Sin embargo, está a la espera de su citación. En tanto, el sujeto del camión que transportaba mariscos y que impactó con el otro vehículo deberá declarar ante la Fiscalía, la causa del accidente con resultado de muerte, que según dieron a conocer personal policial aun no se esclarece. La víctima de este último vehículo es un joven de 17 años identificado como Edwards Custodio Valenzuela Tapia , quien iba de copiloto.",2018-01-11,accidente
2,47715021.0,chile,diariolaguino,https://www.diariolaguino.cl/noticia/actualidad/2018/01/carabinero-valdiviano-con-residencia-en-quellon-sufre-accidente-fatal,Carabinero valdiviano con residencia en Quellón sufre accidente fatal  - Diario Laguino,"Un fatal accidente automovilístico movilizó a varias unidades de emergencia alrededor de las 03:00 de la madrugada del 25 de enero, hacia el kilómetro 1145 de la Ruta 5 Sur que une las ciudades de Ancud y Castro, reportándose que habría al menos una persona fallecida. De acuerdo a antecedentes preliminares recopilados por medios de comunicación de la zona, un vehículo menor y un camión que transportaba combustible colisionaron en el sector del Puente Puntra, dejando como saldo a una persona fallecida, identificada como Fernando Pérez Haro, quien era el conductor de la camioneta involucrada en el incidente. El fallecido era oriundo de Valdivia con residencia en Quellón y era cabo segundo de Carabineros de dotación de la Tenencia de Carreteras; además, pertenecía al Cuerpo de Bomberos de la ciudad puerto. La investigación fue asumida por el Ministerio Público de Ancud que ordenó la concurrencia de personal de la Sección de Investigación de Accidentes del Tránsito (SIAT) de Puerto Montt para que realice las pericias respectivas y determine las causas del accidente.",2018-01-26,accidente
3,47714876.0,chile,diariolaguino,https://www.diariolaguino.cl/noticia/actualidad/2018/01/conductor-de-tragico-accidente-en-rio-bueno-quedo-en-prision-preventiva,Conductor de trágico accidente en Río Bueno quedó en prisión preventiva - Diario Laguino,"La Fiscalía Local de Río Bueno formalizó hoy una investigación por el delito de conducción de vehículo motorizado en estado de ebriedad con resultado de muerte y lesiones contra un hombre de 24 años, comunicándole que se le investiga por causar el fallecimiento de tres personas y lesiones a otras dos. El fiscal jefe de Río Bueno, Sergio Fuentes Paredes, señaló que el imputado Douglas Eusebio Muñoz Delgadillo cometió este delito en la madrugada  del pasado domingo 14 de enero, cuando perdió el control del vehículo que manejaba debido a que se encontraba en estado de ebriedad, cayendo a una quebrada de 8 metros. “El accidente se produjo cuando el imputado trasladaba en un furgón a sus compañeros de trabajo de la empresa Delsantek por la Ruta T-85, desde la comuna de Río Bueno hasta el sector de Ignao. Este lamentable accidente se debió a que el conductor había bebido alcohol en una cantidad que aún no se ha determinado, no iba atento a las condiciones del tránsito y manejaba a exceso de velocidad, según determinó la SIAT”, explicó el fiscal del Ministerio Público. A solicitud de la Fiscalía de Río Bueno, el Juzgado de Garantía local decretó la prisión preventiva como medida cautelar para el imputado.",2018-01-16,accidente
4,47715025.0,chile,diariolaguino,https://www.diariolaguino.cl/noticia/actualidad/2018/01/camion-repartidor-volco-camino-a-futrono,Camión repartidor volcó camino a Futrono - Diario Laguino,"Un camión repartidor de Evercrisp volcó esta mañana mientras se dirigía hacia la comuna de Futrono. De acuerdo a información recabada por Diario Futrono, el accidente ocurrió alrededor de las 09:30 horas cuando el conductor del vehículo perdió el control del camión en el sector de Dollinco, y terminó semi volcado a un costado de la ruta. De acuerdo a la versión de testigos, el conductor no presentaba lesiones aparentes, logró salir del vehículo por sus propios medios y se encontraba en buenas condiciones de salud.",2018-01-25,accidente
5,47714631.0,chile,diariolaguino,https://www.diariolaguino.cl/noticia/actualidad/2018/01/identifican-a-victima-de-fatal-accidente-en-la-ruta-valdivia-paillaco,Identifican a víctima de fatal accidente en la ruta Valdivia-Paillaco - Diario Laguino,"Un hombre de 34 años, identificado como Jorge Andrés Montenegro Méndez, rmurió la tarde de este domingo 28 de enero tras protagonizar un grave accidente de tránsito en la ruta que conecta a Valdivia con Paillaco. De acuerdo a la información recabada por Diario de Valdivia, la emergencia se produjo alrededor de las 20:00 horas, cuando un bus y un automóvil marca Toyota, placa patente BF FL 59, colisionaron en las cercanías del puente Santo Domingo. Al lugar de la emergencia asistieron diversas unidades de rescate, quienes trasladaron alrededor de 16 lesionados hasta el Hospital Base de Valdivia. El tránsito se mantuvo completamente interrumpido por alededor de 3 horas, provocando gran congestión en esta ruta y también en el acceso a Valdivia por la ciudad de Los Lagos. El fallecido registra residencia en la Región Metropolitana.",2018-01-29,accidente
6,47714965.0,chile,diariolaguino,https://www.diariolaguino.cl/noticia/actualidad/2018/01/4-lesionados-tras-volcamiento-de-camion-de-basura-en-ruta-panguipulli-los-lagos,4 lesionados tras volcamiento de camión de basura en ruta Panguipulli-Los Lagos - Diario Laguino,"Cuatro lesionados con diferentes grados de consideración fue el saldo del volcamiento de un camión de basura que se produjo esta mañana en la ruta T-39, camino que conecta Panguipulli con Los Lagos. La máquina (WC-1260) forma parte de la empresa Servi-Mar, vehículo que iba repleto de basura que sería trasladada a la ciudad de Valdivia. Cuando el camión pasaba por el sector Dollinco, el conductor perdió el control de la máquina y se volcó a un costado de la ruta, derramanado todo el contenido. Los afectados en este accidente fueron el conductor del vehículo Eric Contreras Núñez, Karen Curíb Urrutia, Ingrid Cuevas Curín y un menor de edad. Atendieron a este llamado de Comandancia los Bomberos de Panguipulli quienes ayudaron a los lesionados que de manera posterior fueron trasladados al centro de salud de mayor cercanía. Debido a los escombros que quedaron en el lugar fue necesario hacer desvíos en la ruta.     ",2018-01-22,accidente
7,49542851.0,chile,lavozdepaillaco,https://www.lavozdepaillaco.cl/accidente-de-transito-en-ruta-t-206-entre-paillaco-y-valdivia-dejo-un-muerto-y-una-veintena-de-eridos/,Accidente de tránsito en ruta T 206 entre Paillaco y Valdivia dejo un Muerto y una veintena de heridos,"Un accidente de tránsito ocurrido en Valdivia dejó un saldo de una persona muerta y al menos una veintena de lesionados. Según información preliminar entregada por Bomberos a Radio Bío Bío, se trataría de una colisión entre un microbus y un vehículo menor en el puente Santo Domingo. El vehículo menor se habría volcado al colisionar. A raíz del hecho, un número importante de ambulancias llegaron hasta el Hospital Base de Valdivia con los lesionadas. La zona se mantiene con alta congestión producto de la emergencia. Desde Bomberos aclararon confirmaron la víctima fatal y la cifra de heridos, quienes ya estarían siendo atendidos y fuera de riesgo vital. En ese sentido, agregaron que la persona que perdió la vida sería el conductor del vehículo menor. Además, ésta se encontraba con un pasajero, el que se mantiene en estado grave. Hasta el lugar llegó personal de la SIAT de Carabineros para realizar las diligencias correspondientes. El vehículo menor quedó completamente destruido. Fuente biobiochile.cl",2018-01-29,accidente
8,47714950.0,chile,diariolaguino,https://www.diariolaguino.cl/noticia/actualidad/2018/01/los-lagos-ciclista-que-cayo-a-un-barranco-debio-ser-rescatado-por-bomberos,Los Lagos: Ciclista que cayó a un barranco debió ser rescatado por bomberos  - Diario Laguino,"Una persona de sexo masculino que transitaba en bicicleta por calle Quinchilca de Los Lagos cayó un barranco esta noche (domingo 21) y debió ser rescatado por la Unidad de Rescate de Bomberos de esa comuna. El accidente se produjo minutos antes de las 23 horas y afectó a Marcos Antonio Martínez González, 42 años, residente en Los Lagos, quien cayó a la quebrada, ubicado a pocos metros del paso superior de la carretera, luego que un camión lo encandiló y perdió el control de su bicicleta. El hombre rodó unos 3 metros y quedó atrapado entre las tablas de una bodega, perteneciente a la familia propietaria del terreno, por lo que fue necesaria la intervención de la Unidad de Rescate de Bomberos. Arnoldo Sobarzo, teniente primero de la Tercera Compañía, confirmó a Diario Laguino que el operativo consistió primero en despejar el lugar para luego realizar las maniobras de rescate. Martínez González fue trasladado en ambulancia hasta la urgencia del Hospital y presentaba varias contusiones, pero nunca perdió el conocimiento. Informe de Elba Ríos y Claudio Vásquez.",2018-01-22,accidente
9,47715741.0,chile,diariolaguino,https://www.diariolaguino.cl/noticia/actualidad/2018/01/mas-de-16-mil-controles-preventivos-a-conductores-realizo-senda-los-rios-junto-a-carabineros-durante-2017,Más de 16 mil controles preventivos a conductores realizó SENDA Los Ríos junto a Carabineros durante 2017 - Diario Laguino,"16.971 controles preventivos a conductores en un total de 72 operativos realizados en toda la región de Los Ríos fue el balance final que efectuó el director regional de SENDA Los Ríos Alexis González, en el marco del análisis de las acciones realizadas por el Servicio durante el año pasado. SE SACÓ DE CIRCULACIÓN A 232 CONDUCTORES La autoridad señaló que “por una parte, para nosotros es relevante que durante el año 2017, pudiésemos sacar de circulación a 232 conductores que ponían en riesgo al resto de la ciudadanía, la cual, frente al volante podrían haber sido víctimas inocentes de un accidente. Por otra parte, queremos decir que se hace muy necesario que la ciudadanía entienda que evitar mezclar alcohol y conducción es tarea de todos y que muchas veces será responsabilidad de cada miembro de su entorno, quienes deberán imposibilitar que una persona bajo el consumo de alcohol pueda manejar su vehículo”. ALCOHOLEMIAS EN TERRENO El programa Control Preventivo a Conductores consiste en operativos que se llevan a cabo en sectores estratégicos de las ciudades, escogidos aleatoriamente, en los que SENDA pone a disposición de Carabineros una ambulancia para realizar alcoholemias en terreno. Esto permite mantener el punto de control, obtener un resultado más preciso y descongestionar los servicios de urgencia. HOMBRES MÁS QUE MUJERES En los controles preventivos realizados a la fecha por SENDA se ha identificado que por cada mujer que ha sido detenida por manejar con alcohol, 7 hombres son identificados en la misma condición. De los casos detectados a nivel país, 2.610 hombres debieron salir de circulación por encontrarse bajo la influencia del alcohol o bien en estado de ebriedad, mientras que sólo son 356 casos correspondientes a mujeres. En el caso de la región de Los Ríos, el número de alcoholemias realizadas en el año 2016 fue 199 aumentado el 2017 a 232. CONSEJOS PREVENTIVOS El director recordó que existen una serie de medidas preventivas que la ciudadanía puede adoptar para promover un consumo responsable, las que están contenidas en un decálogo con consejos dirigido especialmente padres y adultos responsables, disponible en www.senda.gob.cl.",2018-01-05,accidente
